T1,V1,W1
1484051400,236.0276551,239.1446979
1484055000,237.0505677,240.116442
1484058600,238.4050268,242.2527029
1484062200,238.6593095,244.3114205
1484065800,237.070254,241.6677197
1484069400,239.7881325,243.8183734
1484073000,240.0651652,243.7431075
1484076600,239.6126033,243.534639
1484080200,240.3857381,244.2349031
1484083800,241.5438608,245.390489
1484087400,241.5626879,245.2531116
1484091000,239.7995287,242.8043757
1484112600,232.5151831,235.948752
1484116200,234.5476814,236.4921887
1484119800,238.8861485,240.3181553
1484123400,234.7242192,238.6354691
1484127000,234.9458543,237.3881744
1484130600,236.6564514,239.5172298
1484134200,239.8170315,242.4645777
1484137800,236.9121673,239.6853543
1484141400,237.0841169,239.9337575
1484145000,237.7194562,241.6965493
1484148600,238.8134691,243.5238991
1484152200,238.5740417,242.7540172
1484155800,239.8711337,243.6300045
1484159400,241.9477561,245.6701615
1484163000,239.6037069,243.6671001
1484166600,241.229387,245.1428556
1484170200,241.854559,245.7045888
1484173800,241.572057,245.4722143
1484177400,240.1634082,243.8944839
1484181000,237.6953752,239.3776195
1484184600,233.9232133,235.1767993
1484188200,230.7793537,231.6207357
1484191800,229.0509322,230.3701607
1484195400,233.0421009,234.5528597
1484199000,232.047015,234.782781
1484202600,234.1596052,236.7899182
1484206200,235.2644122,238.3975116
1484209800,232.0710146,234.9178369
1484213400,234.0656864,236.9886603
1484217000,235.0896002,238.1390764
1484220600,239.6861083,241.0594842
1484224200,236.0100284,238.3540865
1484227800,226.9877941,229.9236316
1484231400,228.4733992,232.0570597
1484235000,233.4755966,237.3652854
1484238600,237.4279612,241.5380025
1484242200,239.0278499,242.9624894
1484245800,243.5410022,247.0405818
1484249400,245.112146,248.8640956
1484253000,246.4780491,250.5423181
1484256600,247.960243,251.7139846
1484260200,248.1552117,251.9241364
1484263800,245.8850619,249.2262678
1484267400,241.0620745,243.7533539
1484271000,238.8824545,240.7576805
1484274600,231.1310187,233.1519355
1484278200,230.3171389,230.8879874
1484281800,235.5342277,237.1336002
1484285400,233.2807925,236.717372
1484289000,235.1495911,238.3279294
1484292600,241.9274148,245.0596548
1484296200,238.7604002,242.0565502
1484299800,240.3654922,241.6645956
1484303400,240.9405678,242.5703154
1484307000,240.6078344,242.1008142
1484310600,237.0506024,240.8445792
1484314200,237.644123,239.6451353
1484317800,234.5161048,237.3212739
1484321400,232.7917117,235.8371656
1484325000,237.2058985,240.6521244
1484328600,239.3048187,242.5761138
1484332200,241.5216838,244.6516092
1484335800,241.0057799,244.6210003
1484339400,239.4361314,242.9988231
1484343000,240.2616817,243.6541398
1484346600,240.3771169,243.8293972
1484350200,238.370935,241.6401266
1484353800,235.1194104,237.9678125
1484357400,232.3758911,235.6368295
1484361000,229.2692519,230.5128199
1484364600,228.5560991,230.2215981
1484368200,234.3776538,236.5030063
1484371800,240.1548288,243.2048442
1484375400,238.5055309,240.2894849
1484379000,230.3397265,232.0234069
1484382600,229.2459193,231.4597949
1484386200,230.9642324,233.2421827
1484389800,232.3497813,234.7353462
1484393400,231.6910115,235.0689938
1484397000,229.8306362,233.0445441
1484400600,233.5478171,236.5990115
1484404200,235.6898633,239.5739824
1484407800,239.6181732,243.7102497
1484411400,238.5024563,241.7427606
1484415000,239.6109319,243.5852295
1484418600,239.2822326,243.0127806
1484422200,240.4867577,243.9459306
1484425800,241.9384857,245.366452
1484429400,239.0074964,242.7110922
1484433000,239.5361358,242.9364569
1484436600,237.5661425,240.8190573
1484440200,237.0223237,240.6263801
1484443800,235.9743028,237.9328864
1484447400,233.255187,235.023513
1484451000,228.8782139,230.927169
1484454600,227.2545182,229.6586993
1484458200,227.4534252,230.0241606
1484461800,231.5720022,232.0496413
1484465400,236.9113235,238.5495369
1484469000,236.2071106,238.4856023
1484472600,236.9939006,239.4436273
1484476200,235.416379,240.0516244
1484479800,237.2679698,239.2276523
1484483400,230.2428371,233.0373945
1484487000,231.2740138,233.7130973
1484490600,231.9073689,235.7662043
1484494200,236.1926871,239.6921756
1484497800,240.2287512,244.3078139
1484501400,240.7082805,244.3187406
1484505000,240.6184628,244.1776318
1484508600,240.5514124,244.2077668
1484512200,240.5836292,244.2841989
1484515800,241.274738,244.9440031
1484519400,241.2881744,244.9301992
1484523000,239.4199704,242.4462165
1484526600,236.6337701,238.9577257
1484530200,232.0807467,233.2982195
1484533800,234.8377522,234.7180964
1484537400,230.1384885,231.1131898
1484541000,229.1842233,231.3900688
1484544600,230.0752126,232.7145723
1484548200,236.7081479,238.7507289
1484551800,239.7245574,241.2096036
1484555400,231.4475532,234.7617381
1484559000,230.6103173,233.4924326
1484562600,232.2087199,234.8238924
1484566200,233.8098983,236.3323264
1484569800,232.5055582,234.6598693
1484573400,235.1055235,237.2206547
1484577000,234.4342187,237.2370674
1484580600,231.8791921,236.2046976
1484584200,235.4909378,239.1746104
1484587800,239.3016451,242.510616
1484591400,241.6375043,245.1841172
1484595000,240.5454266,244.1450279
1484598600,241.8034422,245.4515531
1484602200,240.304021,243.9409505
1484605800,239.0728537,242.6192712
1484609400,235.9829633,238.9715832
1484613000,232.4509145,234.9312059
1484616600,229.780363,230.8281723
1484620200,231.4467167,232.9982685
1484623800,234.6252148,236.3919098
1484627400,232.0311422,233.5281739
1484631000,231.7755076,234.0377335
1484634600,235.0905077,236.8476215
1484638200,241.7028844,243.6308845
1484908200,236.5082029,239.2528081
1484911800,238.5307,240.5184596
1484915400,235.1833662,237.4333526
1484919000,236.0599389,238.8661274
1484922600,237.7352057,241.1298854
1484926200,230.3904758,233.4540512
1484929800,233.9064199,238.0316062
1484933400,237.1072797,240.4849725
1484937000,239.8380567,243.0136979
1484940600,241.5205041,244.817573
1484944200,240.3616402,243.7058285
1484947800,240.8322372,243.7975654
1484951400,240.3730192,243.5638069
1484955000,239.1081452,242.1124792
1484958600,236.0528195,238.1655286
1484962200,232.1385466,234.6502895
1484965800,229.3200732,231.9893046
1484969400,236.477647,239.1648403
1484973000,229.9741652,231.9282603
1484976600,230.0829545,232.4013263
1484980200,234.2437103,236.4824951
1484983800,241.2028045,243.2362385
1484987400,235.8141227,238.7694882
1484991000,236.1887848,238.9497078
1484994600,238.8741375,241.0810047
1484998200,240.9654894,243.2508954
1485001800,236.0620645,239.0782393
1485005400,236.8732394,239.603743
1485009000,240.5237595,244.3621454
1485012600,230.7377156,233.6670936
1485016200,233.9316167,237.2004587
1485019800,237.5172639,240.2332305
1485023400,239.2869806,242.4215455
1485027000,241.1096937,244.0882073
1485030600,242.4520181,245.7330657
1485034200,239.2236554,242.6479562
1485037800,240.7142078,243.7040812
1485041400,238.7603361,241.4113483
1485045000,235.9900765,238.8565491
1485048600,233.5873314,236.1878476
1485052200,231.4575648,234.3593019
1485055800,229.6013658,231.9972877
1485059400,232.274747,232.7354624
1485063000,238.0966101,239.0792718
1485066600,240.213486,241.7885464
1485070200,243.5815237,245.4648823
1485073800,242.7020388,244.6000341
1485077400,240.7812813,242.9981424
1485081000,230.9831848,233.0215434
1485084600,230.2830028,232.3003204
1485088200,228.6165763,231.9333753
1485091800,231.6813252,234.5252694
1485095400,232.1621479,236.2090703
1485099000,234.7168578,238.9803693
1485102600,236.5907459,240.769207
1485106200,239.2701381,242.7778081
1485109800,240.5419638,244.2386084
1485113400,240.5871291,244.223251
1485117000,241.7294905,245.5118557
1485120600,238.8598871,242.282736
1485124200,239.1517131,242.3922098
1485127800,237.8355518,240.6062646
1485131400,233.446566,235.6047176
1485135000,232.153162,233.4029491
1485138600,239.2564105,240.7286922
1485142200,230.4757617,231.8371374
1485145800,228.8761139,231.5773934
1485149400,232.2846265,234.716028
1485153000,236.6068331,238.4882418
1485156600,239.5114426,241.8150696
1485160200,233.8456098,236.8513177
